1992-03|1
1992-04|1
1992-05|5
1992-06|2
1992-07|3
1992-08|5
1992-09|1
1992-10|2
1992-12|3
1993-01|3
1993-02|4
1993-03|3
1993-06|1
1993-11|1
1994-01|1
1994-03|3
1994-04|3
1994-05|1
1994-06|1
1994-11|4
1994-12|1
1995-01|3
1995-02|3
1995-03|2
1995-04|1
1995-07|2
1995-08|4
1995-09|2
1995-10|2
1995-11|2
1995-12|2
1996-01|1
1996-08|3
1996-09|1
1996-10|1
1996-11|1
1996-12|1
1997-06|2
1997-08|2
1997-09|1
1997-10|2
1997-11|2
1997-12|2
1998-01|3
1998-03|1
1998-04|3
1998-05|2
1998-07|1
1998-11|1
1998-12|1
